J,Thrust,Ct,Cp,Source
2.8324468085106385,2788.1469535220654,0.06405465826538816,0.20428941130394287,A&LResults
2.746615087040619,4267.317079872892,0.09218537978893707,0.27952360772484963,A&LResults
2.665832290362954,5809.153987615289,0.11821975901512534,0.34603683599110857,A&LResults
2.5896656534954405,7406.301696063032,0.1422329852793606,0.4045743644383694,A&LResults
2.517730496453901,9054.092467567667,0.16435197942756588,0.4560273365130192,A&LResults
2.449683726279471,10681.2946521186,0.18355045376013343,0.4986352012109383,A&LResults
2.3852183650615904,12151.228433711354,0.1979648144185619,0.5288808771711293,A&LResults
2.324058919803601,13751.92915949337,0.21270094893815317,0.5583642074110454,A&LResults
2.265957446808511,15424.965207726862,0.22679800262627048,0.5851119482631847,A&LResults
2.2106901920083035,17149.941446088586,0.24001033503086722,0.608758428520391,A&LResults
2.1580547112462005,18844.898190209296,0.2513218394651276,0.6272244937922115,A&LResults
2.1078673923800095,20534.340647010587,0.2612635755700427,0.6418975849507508,A&LResults
2.8324468085106385,2927.6591796875,0.06725980064842565,0.2149963867478855,XRotorResults
2.746615087040619,4389.33837890625,0.09482136384711366,0.28912780184620485,XRotorResults
2.665832290362954,5910.16650390625,0.12027542415309338,0.3548651808247349,XRotorResults
2.5896656534954405,7486.185546875,0.1437671002861307,0.41302082368703574,XRotorResults
2.517730496453901,9110.787109375,0.16538111367126276,0.4642768646129608,XRotorResults
2.449683726279471,10775.0009765625,0.18516073031667993,0.5092161477002232,XRotorResults
2.3852183650615904,12277.6318359375,0.20002414744814684,0.5411325543328686,XRotorResults
2.324058919803601,13756.5986328125,0.21277317163465642,0.566997951659407,XRotorResults
2.265957446808511,15370.5771484375,0.22599831828031375,0.5928220385172862,XRotorResults
2.2106901920083035,17048.857421875,0.23859568235732678,0.616176560720559,XRotorResults
2.1580547112462005,18747.73828125,0.25002608255546166,0.6359683787639965,XRotorResults
2.1078673923800095,20392.353515625,0.25945703762132444,0.6504479224418437,XRotorResults
