J,Thrust,Ct,Cp,Source
2.8324468085106385,2688.656511308627,0.06176897304761159,0.19796644701204077,VeldhuisResults
2.746615087040619,4124.970332622542,0.08911031207979364,0.27133458609286626,VeldhuisResults
2.665832290362954,5621.975055531819,0.11441055576611657,0.3362750173990592,VeldhuisResults
2.5896656534954405,7173.985942317048,0.13777151928206255,0.3935543979022687,VeldhuisResults
2.517730496453901,8776.19380048626,0.15930749858327192,0.4440031876415203,VeldhuisResults
2.449683726279471,10401.590580661692,0.17874393817315923,0.4874683513760147,VeldhuisResults
2.3852183650615904,11853.246113888992,0.19311016001341635,0.5179613707860469,VeldhuisResults
2.324058919803601,13386.709814695534,0.20705210503355498,0.5461039779643536,VeldhuisResults
2.265957446808511,15012.119850361236,0.22072781049402831,0.5723938215268933,VeldhuisResults
2.2106901920083035,16698.69000941719,0.23369515262402799,0.5959845728172811,VeldhuisResults
2.1580547112462005,18390.889235734776,0.24526702481871807,0.615526079202164,VeldhuisResults
2.1078673923800095,20056.903687422833,0.2551890251710092,0.6306664309164459,VeldhuisResults
2.8324468085106385,2927.6591796875,0.06725980064842565,0.2149963867478855,XRotorResults
2.746615087040619,4389.33837890625,0.09482136384711366,0.28912780184620485,XRotorResults
2.665832290362954,5910.16650390625,0.12027542415309338,0.3548651808247349,XRotorResults
2.5896656534954405,7486.185546875,0.1437671002861307,0.41302082368703574,XRotorResults
2.517730496453901,9110.787109375,0.16538111367126276,0.4642768646129608,XRotorResults
2.449683726279471,10775.0009765625,0.18516073031667993,0.5092161477002232,XRotorResults
2.3852183650615904,12277.6318359375,0.20002414744814684,0.5411325543328686,XRotorResults
2.324058919803601,13756.5986328125,0.21277317163465642,0.566997951659407,XRotorResults
2.265957446808511,15370.5771484375,0.22599831828031375,0.5928220385172862,XRotorResults
2.2106901920083035,17048.857421875,0.23859568235732678,0.616176560720559,XRotorResults
2.1580547112462005,18747.73828125,0.25002608255546166,0.6359683787639965,XRotorResults
2.1078673923800095,20392.353515625,0.25945703762132444,0.6504479224418437,XRotorResults
