J,Thrust,Ct,Cp,Source
3.2370820668693012,598.5476832456513,0.01796047037748619,0.08314734421404364,A&LResults
3.1254585473220837,1883.241997930671,0.05267992523977896,0.19048809017671603,A&LResults
3.021276595744681,3246.5337036986352,0.08486183557823854,0.285702056678953,A&LResults
2.9238160603980785,4675.448687213047,0.11445504022677569,0.36903517256576407,A&LResults
2.8324468085106385,6167.088512460607,0.1416821830926276,0.4418750790772646,A&LResults
2.746615087040619,7713.111896019357,0.1666236973209153,0.5051927259657466,A&LResults
2.665832290362954,9303.123597343507,0.18932413086494176,0.55986579627354,A&LResults
2.5896656534954405,10738.825515482537,0.20623183798645114,0.597821620170319,A&LResults
2.517730496453901,12164.133082490742,0.2208061555908503,0.6283355765065406,A&LResults
2.449683726279471,13710.179174800414,0.235599680621881,0.6578361614341657,A&LResults
2.3852183650615904,15320.1093289871,0.24959143980627874,0.6839968552756983,A&LResults
2.324058919803601,16918.676349633122,0.26168099563399944,0.7043319190518037,A&LResults
2.265957446808511,18474.335255350903,0.27163382732706576,0.7185865914940973,A&LResults
3.2370820668693012,521.59716796875,0.01565143554392245,0.07623319910519455,XRotorResults
3.1254585473220837,1803.532958984375,0.050450224427435415,0.18473605772216273,XRotorResults
3.021276595744681,3153.080322265625,0.08241903774732012,0.28027918730641876,XRotorResults
2.9238160603980785,4562.56201171875,0.11169157304979585,0.36396109467665366,XRotorResults
2.8324468085106385,6032.07470703125,0.13858038705674708,0.4374074182680828,XRotorResults
2.746615087040619,7554.04736328125,0.16318748105506217,0.5014999488533496,XRotorResults
2.665832290362954,9123.01953125,0.185658905371417,0.5573128654265971,XRotorResults
2.5896656534954405,10646.955078125,0.20446752874001187,0.6016107596616694,XRotorResults
2.517730496453901,11998.744140625,0.21780397728657153,0.6306812079783164,XRotorResults
2.449683726279471,13502.8544921875,0.23203695336749072,0.6604860515118472,XRotorResults
2.3852183650615904,15082.4189453125,0.2457190467433127,0.6875572971460159,XRotorResults
2.324058919803601,16697.501953125,0.2582600934847454,0.7106442658988807,XRotorResults
2.265957446808511,18256.357421875,0.26842883226980807,0.7269335629684404,XRotorResults
