J,Thrust,Ct,Cp,Source
2.8324468085106385,2919.9396472299813,0.06708245274611717,0.213404234768894,VeldhuisResults
2.746615087040619,4346.328871836174,0.09389224429270078,0.28520872572114025,VeldhuisResults
2.665832290362954,5833.705979421763,0.11871940673678853,0.34881011267357465,VeldhuisResults
2.5896656534954405,7376.689917206744,0.14166431121246417,0.4049431786637999,VeldhuisResults
2.517730496453901,8969.720269741752,0.16282043578903835,0.45436023314230994,VeldhuisResults
2.449683726279471,10594.347900363653,0.18205633565391446,0.49722532089981186,VeldhuisResults
2.3852183650615904,12041.667921298827,0.19617988159257896,0.5267008695538072,VeldhuisResults
2.324058919803601,13517.748283077324,0.20907887569598005,0.5521559221710625,VeldhuisResults
2.265957446808511,15105.86172801517,0.22210612612249392,0.5767778490074292,VeldhuisResults
2.2106901920083035,16755.750636016426,0.23449370579403178,0.5989268898006798,VeldhuisResults
2.1580547112462005,18428.750369581237,0.24577195351116765,0.6176439332491809,VeldhuisResults
2.1078673923800095,20044.304767844056,0.2550287259515673,0.6311023377178554,VeldhuisResults
2.8324468085106385,2926.047607421875,0.06722277652004742,0.21487454784498217,XRotorResults
2.746615087040619,4387.3515625,0.0947784433372118,0.28898758828705917,XRotorResults
2.665832290362954,5907.7939453125,0.12022714116631074,0.3547088024596083,XRotorResults
2.5896656534954405,7483.40771484375,0.14371375391183713,0.4128495608484755,XRotorResults
2.517730496453901,9107.583984375,0.16532296980582406,0.46409180197257466,XRotorResults
2.449683726279471,10771.3427734375,0.18509786669710857,0.5090188594143864,XRotorResults
2.3852183650615904,12272.9326171875,0.19994758893615516,0.5409030923781517,XRotorResults
2.324058919803601,13751.4384765625,0.21269335955023433,0.5667624661058523,XRotorResults
2.265957446808511,15364.609375,0.2259105722739193,0.592567585272033,XRotorResults
2.2106901920083035,17041.951171875,0.23849903063513184,0.6159036181652999,XRotorResults
2.1580547112462005,18741.884765625,0.24994801812129153,0.6357356516442406,XRotorResults
2.1078673923800095,20386.607421875,0.25938392862676296,0.6502244943432189,XRotorResults
