Y,Fz
-17.7132,0.095119809554
-17.1396,0.226261877114
-16.566,0.29246613155999995
-15.9924,0.3299931866
-15.4189,0.35630129286
-14.8453,0.37745277
-14.2717,0.39582618748
-13.6981,0.41255111862
-13.1245,0.42816443393700004
-12.5509,0.442971733875
-11.9773,0.45717478915899995
-11.4038,0.47085049120199995
-10.8302,0.484054827399
-10.2566,0.496830960024
-9.683,0.5091471254159999
-9.10941,0.520971275176
-8.53583,0.53221321184
-7.96224,0.542719683816
-7.38865,0.552205184747
-6.81507,0.560133225688
-6.24148,0.56546471616
-5.66789,0.56358468838
-5.09431,0.5595902992099999
-4.52072,0.56100294679
-3.94714,0.5982859718
-3.41383,0.57647361811
-2.92079,0.65880666225
-2.42776,0.7034801370000001
-1.93473,0.6962553680000001
-1.44169,0.6800545399899999
-0.948661,0.68607541224
-0.455628,0.69442915146
-0.104556,0.297075340408
0.104556,0.297075340408
0.455628,0.69442915146
0.948661,0.68607541224
1.44169,0.6800545399899999
1.93473,0.6962553680000001
2.42776,0.7034801370000001
2.92079,0.65880666225
3.41383,0.57647361811
3.94714,0.5982859718
4.52072,0.56100294679
5.09431,0.5595902992099999
5.66789,0.56358468838
6.24148,0.56546471616
6.81507,0.560133225688
7.38865,0.552205184747
7.96224,0.542719683816
8.53583,0.53221321184
9.10941,0.520971275176
9.683,0.5091471254159999
10.2566,0.496830960024
10.8302,0.484054827399
11.4038,0.47085049120199995
11.9773,0.45717478915899995
12.5509,0.442971733875
13.1245,0.42816443393700004
13.6981,0.41255111862
14.2717,0.39582618748
14.8453,0.37745277
15.4189,0.35630129286
15.9924,0.3299931866
16.566,0.29246613155999995
17.1396,0.226261877114
17.7132,0.095119809554
